t,x
35.829999999999998,12.859999999999999
35.869999999999997,29.25
35.899999999999999,41.890000000000001
35.93,53.969999999999999
35.969999999999999,62.240000000000002
36,70.890000000000001
36.030000000000001,71.290000000000006
36.07,71.290000000000006
36.100000000000001,71.159999999999997
36.130000000000003,65.230000000000004
36.170000000000002,44.020000000000003
36.200000000000003,28.359999999999999
36.229999999999997,10.85
36.270000000000003,-2.137
36.299999999999997,-29.129999999999999
36.329999999999998,-38.090000000000003
36.369999999999997,-51.939999999999998
36.399999999999999,-67.090000000000003
36.43,-78.950000000000003
36.469999999999999,-88.280000000000001
36.5,-94.709999999999994
36.530000000000001,-97.709999999999994
36.57,-97.439999999999998
36.600000000000001,-91.530000000000001
36.630000000000003,-92.980000000000004
36.670000000000002,-85.959999999999994
36.700000000000003,-71.659999999999997
36.729999999999997,-53.850000000000001
36.770000000000003,-36.369999999999997
36.799999999999997,-12.84
36.829999999999998,-3.069
36.869999999999997,13.35
36.899999999999999,31.98
36.93,44.020000000000003
36.969999999999999,63.840000000000003
37,71.989999999999995
37.030000000000001,80.540000000000006
37.07,80.290000000000006
37.100000000000001,79.519999999999996
37.130000000000003,70.640000000000001
37.170000000000002,60.909999999999997
37.200000000000003,45.18
37.229999999999997,29.34
37.270000000000003,12.710000000000001
37.299999999999997,-5.7599999999999998
37.329999999999998,-31.550000000000001
37.369999999999997,-44.869999999999997
37.399999999999999,-63.049999999999997
37.43,-77.870000000000005
37.469999999999999,-89.349999999999994
37.5,-98.090000000000003
37.530000000000001,-102.8
37.57,-103
37.600000000000001,-103.2
37.630000000000003,-98.120000000000005
37.670000000000002,-91.920000000000002
37.700000000000003,-81.75
37.729999999999997,-68.159999999999997
37.770000000000003,-52.68
37.799999999999997,-32.090000000000003
37.829999999999998,-14.640000000000001
37.869999999999997,2.2429999999999999
37.899999999999999,26.02
37.93,41.700000000000003
37.969999999999999,55.149999999999999
38,67.019999999999996
38.030000000000001,75
38.07,79.349999999999994
38.100000000000001,79.120000000000005
38.130000000000003,76.659999999999997
38.170000000000002,69.090000000000003
38.200000000000003,55.68
38.229999999999997,42.060000000000002
38.270000000000003,26.199999999999999
38.299999999999997,7.9379999999999997
38.329999999999998,-10.460000000000001
38.369999999999997,-29.890000000000001
38.399999999999999,-48.600000000000001
38.43,-64.790000000000006
38.469999999999999,-77.829999999999998
38.5,-89.920000000000002
38.530000000000001,-98.489999999999995
38.57,-103.90000000000001
38.600000000000001,-104.09999999999999
38.630000000000003,-108
38.670000000000002,-102.3
38.700000000000003,-91.799999999999997
38.729999999999997,-78.659999999999997
38.770000000000003,-55.039999999999999
38.799999999999997,-38.689999999999998
38.829999999999998,-21.260000000000002
38.869999999999997,-3.0049999999999999
38.899999999999999,14.48
38.93,32.520000000000003
38.969999999999999,48.159999999999997
39,50.299999999999997
39.030000000000001,60.009999999999998
39.07,65.879999999999995
39.100000000000001,73.519999999999996
39.130000000000003,73.810000000000002
39.170000000000002,73.760000000000005
39.200000000000003,68.390000000000001
39.229999999999997,55.979999999999997
39.270000000000003,42.280000000000001
39.299999999999997,25.66
